epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,1713.66,0.86382,0.4508,0.97562,0.92046,0.81415,0.87538,0.53319,1.21919,0.71154,1.31032,0.000698806,0.000698806,0.000698806
90,1732.72,0.85616,0.44604,0.97143,0.88433,0.81328,0.85562,0.52888,1.19949,0.66984,1.26081,0.000687804,0.000687804,0.000687804
91,1751.75,0.84917,0.4364,0.97367,0.89973,0.83309,0.87303,0.53712,1.19903,0.69478,1.28541,0.000676802,0.000676802,0.000676802
92,1770.91,0.83698,0.43172,0.97146,0.89027,0.82642,0.86652,0.54497,1.18364,0.64086,1.26181,0.0006658,0.0006658,0.0006658
93,1790.1,0.83167,0.42999,0.97774,0.89742,0.80259,0.85768,0.53592,1.18791,0.70057,1.28707,0.000654798,0.000654798,0.000654798
94,1809.13,0.83131,0.43221,0.97038,0.91222,0.82125,0.87337,0.54977,1.15782,0.64765,1.25055,0.000643795,0.000643795,0.000643795
95,1828.33,0.83273,0.42816,0.96893,0.88102,0.80823,0.86447,0.53789,1.19699,0.64881,1.28612,0.000632793,0.000632793,0.000632793
96,1847.54,0.831,0.43141,0.97167,0.89059,0.81469,0.86066,0.53545,1.1915,0.7005,1.28363,0.000621791,0.000621791,0.000621791
97,1867.6,0.82778,0.43052,0.96427,0.89412,0.83437,0.87177,0.53918,1.18918,0.66609,1.2724,0.000610789,0.000610789,0.000610789
98,1887.23,0.83268,0.42403,0.96877,0.92007,0.80808,0.86472,0.53497,1.20718,0.67203,1.28332,0.000599787,0.000599787,0.000599787
99,1906.9,0.82514,0.42276,0.96823,0.89914,0.81381,0.8754,0.54139,1.20171,0.65478,1.28258,0.000588784,0.000588784,0.000588784
100,1926.48,0.82304,0.42752,0.97194,0.89921,0.82011,0.87485,0.5402,1.17265,0.65835,1.25268,0.000577782,0.000577782,0.000577782
101,1947.19,0.81372,0.42082,0.96755,0.88441,0.81968,0.86551,0.53588,1.18578,0.66954,1.27263,0.00056678,0.00056678,0.00056678
102,1968.87,0.81606,0.41666,0.96033,0.90365,0.82024,0.87621,0.54504,1.17354,0.6569,1.26047,0.000555778,0.000555778,0.000555778
103,1989.96,0.81276,0.41484,0.96199,0.92233,0.805,0.87804,0.551,1.21413,0.64375,1.28651,0.000544776,0.000544776,0.000544776
104,2010.44,0.80457,0.41793,0.96384,0.90852,0.81431,0.86754,0.54274,1.1936,0.65446,1.28592,0.000533773,0.000533773,0.000533773
105,2031.42,0.8032,0.41069,0.95896,0.88608,0.83173,0.86078,0.54325,1.18764,0.64696,1.26616,0.000522771,0.000522771,0.000522771
106,2051.37,0.80665,0.41516,0.96082,0.89656,0.81332,0.86097,0.53633,1.21756,0.6569,1.30827,0.000511769,0.000511769,0.000511769
